Description,Test_name,Records_flagged,perc_number_records(*)
Identical coordinates,.equ,1,0.01
Plain zeros,.zer,1,0.01
Records around country capital centroid,.cap,700,5.96
Records around country or province centroids,.cen,2,0.02
Geographical outliers,.otl,78,0.66
Records around the GBIF headquarters,.gbf,0,0
Records around biodiversity institutions,.inst,23,0.2
Duplicated coordinates per species,.dpl,8995,76.58
Rounded (probably imprecise) coordinates,.rou,97,0.83
Records within urban areas,.urb,1395,11.88
,,,
"(*) calculated in relation to total number of records, i.e. 11746 records",,,
