database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,recordedBy,country,county,.eventDate_empty,year,.year_outOfRange,.summary
GBIF_1,Heteroptera,23.190278,94.052778,657831441,PRESERVED_SPECIMEN,2001-06-19,Chin,Kalemyo,"Falin, Zachary",NA,"Jeng, Ming",NA,NA,TRUE,2001,TRUE,TRUE
GBIF_2,Heteroptera,23.190278,94.052778,657710935,PRESERVED_SPECIMEN,2001-06-19,Chin,Kalemyo,"Falin, Zachary",NA,"Jeng, Ming",NA,NA,TRUE,2001,TRUE,TRUE
GBIF_3,"Helopeltis theivora Waterhouse, 1886",1.365327,103.923001,4863934828,HUMAN_OBSERVATION,2024-03-29T09:27,East,NA,WonGun Kim,31447,Muhammad Huzaifah,NA,NA,TRUE,2024,TRUE,TRUE
GBIF_4,"Poppiocapsidea biseratense (Distant, 1903)",1.296185,103.763753,4863758140,HUMAN_OBSERVATION,2024-01-23T13:46:23,Central,NA,WonGun Kim,NA,Yunhan,NA,NA,TRUE,2024,TRUE,TRUE
GBIF_5,"Helopeltis cinchonae Mann, 1907",22.311143,103.87622,4863712663,HUMAN_OBSERVATION,2024-05-07T14:12,Lào Cai,NA,Tim Parker,5,Tim Parker,NA,NA,TRUE,2024,TRUE,TRUE
GBIF_6,Hyalopeplinus malayensis Carvalho & Gross,15.792507,100.139948,4855044680,HUMAN_OBSERVATION,2024-03-07T14:59,Nakhon Sawan,NA,WonGun Kim,2,Gábor Keresztes,NA,NA,TRUE,2024,TRUE,TRUE
GBIF_7,"Neolygus Knight, 1917",NA,NA,4853293310,MATERIAL_CITATION,2013-04-17,Chaiyaphum,Chulabhom Dam,NA,NA,T. Yasunaga,NA,NA,TRUE,2013,TRUE,TRUE
GBIF_8,"Macrolonius sobrinus (Stal, 1855)",1.380135,103.816105,4852221860,HUMAN_OBSERVATION,2024-04-27T14:42,North,NA,Mike Hooper,NA,Mike Hooper,NA,NA,TRUE,2024,TRUE,TRUE
GBIF_9,"Anthophilolygus bakeri (Poppius, 1915) Yasunaga, Schwartz & Chérot, 2018",7.004945,100.516414,4851932616,HUMAN_OBSERVATION,2024-04-29T19:25:35,Songkhla,NA,WonGun Kim,23,Punnawis Onrthammarat,NA,NA,TRUE,2024,TRUE,TRUE
GBIF_10,"Cyrtorhinus lividipennis Reuter, 1885",15.792507,100.139948,4851774325,HUMAN_OBSERVATION,2024-03-07T13:36,Nakhon Sawan,NA,Gábor Keresztes,2,Gábor Keresztes,NA,NA,TRUE,2024,TRUE,TRUE
GBIF_11,"Creontiades pallidifer (Walker, 1873)",NA,NA,4850879102,PRESERVED_SPECIMEN,NA,Sabah,7 km NNW kudat Tanjung Tahau,"Henry, Thomas J., (USDA), United States Department of Agriculture (UNITED STATES)",NA,J. Hevel & W. Steiner,NA,NA,FALSE,NA,TRUE,FALSE
GBIF_12,"Helopeltis theivora Waterhouse, 1886",1.296569,103.780106,4847132016,HUMAN_OBSERVATION,2024-03-02T11:45,Central,NA,Ivan Neo,13,Ivan Neo,NA,NA,TRUE,2024,TRUE,TRUE
GBIF_13,"Nicostratus minor China & Carvalho, 1951",11.497927,103.123627,4847110399,HUMAN_OBSERVATION,2020-01-15T19:28:15,Kaôh Kong,NA,WonGun Kim,100,Gerard Chartier,NA,NA,TRUE,2020,TRUE,TRUE
GBIF_14,"Nicostratus minor China & Carvalho, 1951",3.170754,101.770645,4846998528,HUMAN_OBSERVATION,2021-12-04T12:44,Selangor,NA,WonGun Kim,NA,Tomas Maul,NA,NA,TRUE,2021,TRUE,TRUE
