database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,coordinatePrecision,recordedBy,country,county,year
GBIF_1,Heteroptera,-20.466667,148.733333,658288349,PRESERVED_SPECIMEN,10/12/1986,Queensland,Conway Beach,Falin,NA,NA,NA,NA,NA,1986
GBIF_2,Heteroptera,23.190278,94.052778,657831441,PRESERVED_SPECIMEN,19/06/2001,Chin,Kalemyo,Falin,NA,NA,NA,NA,NA,2001
GBIF_3,Heteroptera,23.190278,94.052778,657710935,PRESERVED_SPECIMEN,19/06/2001,Chin,Kalemyo,Falin,NA,NA,NA,NA,NA,2001
GBIF_13,Miridae,-35.8438,137.948267,4893823578,PRESERVED_SPECIMEN,22/11/2003,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2003
GBIF_15,Miridae,-35.8438,137.948267,4893823281,PRESERVED_SPECIMEN,31/12/2007,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2007
GBIF_16,Miridae,-35.8438,137.948267,4893823100,PRESERVED_SPECIMEN,01/10/2002,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2002
GBIF_17,Miridae,-35.8438,137.948267,4893822405,PRESERVED_SPECIMEN,03/11/2006,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2006
GBIF_18,Miridae,-35.848017,137.248317,4893821556,PRESERVED_SPECIMEN,30/12/2006,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2006
GBIF_20,Miridae,-34.906094,138.59231,4893820804,PRESERVED_SPECIMEN,25/10/2005,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2005
GBIF_21,Miridae,-36.016233,136.851383,4893820760,PRESERVED_SPECIMEN,27/10/2007,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2007
GBIF_22,Miridae,-35.8438,137.948267,4893820644,PRESERVED_SPECIMEN,03/11/2006,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2006
GBIF_23,Miridae,-35.8438,137.948267,4893820642,PRESERVED_SPECIMEN,27/11/2005,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2005
GBIF_24,Miridae,-35.2651,141.181,4893820488,PRESERVED_SPECIMEN,24/12/2003,Victoria,NA,NA,NA,NA,Glatz,NA,NA,2003
GBIF_25,Miridae,-35.163,138.561,4893820395,PRESERVED_SPECIMEN,25/11/2007,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2007
GBIF_26,Miridae,-35.7313,137.580167,4893820329,PRESERVED_SPECIMEN,04/08/2021,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2021
GBIF_27,Miridae,-35.838,137.9462,4893820052,PRESERVED_SPECIMEN,28/12/2003,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2003
GBIF_28,Miridae,-35.8438,137.948267,4893819869,PRESERVED_SPECIMEN,28/12/2007,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2007
GBIF_29,Miridae,-35.7313,137.580167,4893819290,PRESERVED_SPECIMEN,04/08/2021,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2021
GBIF_30,Miridae,-35.8453,137.9454,4893819187,PRESERVED_SPECIMEN,25/11/2003,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2003
GBIF_31,Miridae,-35.8438,137.948267,4893819002,PRESERVED_SPECIMEN,25/09/2001,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2001
GBIF_32,Miridae,-35.8438,137.948267,4893818390,PRESERVED_SPECIMEN,19/02/2010,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2010
GBIF_33,Miridae,-35.838,137.9462,4893818240,PRESERVED_SPECIMEN,28/12/2003,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2003
GBIF_34,Miridae,-35.7313,137.580167,4893818178,PRESERVED_SPECIMEN,04/08/2021,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2021
GBIF_35,Miridae,-35.843117,136.748533,4893818177,PRESERVED_SPECIMEN,24/01/2021,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2021
GBIF_36,Miridae,-36.016233,136.851383,4893818108,PRESERVED_SPECIMEN,27/10/2007,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2007
GBIF_37,Miridae,-35.8438,137.948267,4893818087,PRESERVED_SPECIMEN,01/12/2002,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2002
GBIF_38,Miridae,-34.906094,138.59231,4893817702,PRESERVED_SPECIMEN,25/10/2005,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2005
GBIF_39,Miridae,-34.96864,138.634184,4893817549,PRESERVED_SPECIMEN,11/07/2001,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2001
GBIF_40,Miridae,-35.838,137.9462,4893817364,PRESERVED_SPECIMEN,28/12/2003,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2003
GBIF_41,Miridae,-35.843117,136.748533,4893817194,PRESERVED_SPECIMEN,24/01/2021,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2021
GBIF_42,Miridae,-35.8453,137.9454,4893817088,PRESERVED_SPECIMEN,25/11/2003,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2003
GBIF_43,Miridae,-35.8438,137.948267,4893817066,PRESERVED_SPECIMEN,30/12/2007,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2007
